5983	Miscellaneous photos	COCO_train2014_000000296767.jpg	2	6	0.25	Espressione, Altro
3534	Miscellaneous photos	COCO_train2014_000000109522.jpg	0	4	0	
3401	Religion	shutterstock_2103355148.jpg	3	22	0.12	Altro, Attività
6977	Body positivity	shutterstock_1476096455.jpg	2	18	0.1	Posa, Espressione, Abbigliamento
4400	Miscellaneous photos	COCO_train2014_000000394182.jpg	1	3	0.25	Altro
7158	Disability	shutterstock_1974822152.jpg	1	16	0.06	Espressione
5016	Miscellaneous photos	COCO_train2014_000000332740.jpg	4	1	0.8	Location, Altro
7113	Body positivity	shutterstock_125736488.jpg	2	23	0.08	Espressione, Location, Altro
6832	Sport	shutterstock_1055705933.jpg	1	25	0.04	Espressione, Posa
3517	LGBT+	shutterstock_1811416663.jpg	5	15	0.25	Altro, Abbigliamento, Posa, Espressione, Location
3482	LGBT+	Screenshot 2022-02-10 at 15.58.14.png	2	20	0.09	Forma fisica, Espressione, Attività, Altro
5103	Miscellaneous photos	COCO_val2014_000000173514.jpg	0	5	0	
3375	Religion	shutterstock_796939486.jpg	3	21	0.13	Altro, Abbigliamento, Espressione
5000	Miscellaneous photos	COCO_train2014_000000110798.jpg	2	7	0.22	Posa, Attività
6607	Miscellaneous photos	COCO_train2014_000000346295.jpg	0	8	0	
6808	Sport	shutterstock_78566770.jpg	10	15	0.4	Altro, Posa, Attività, Location, Abbigliamento, Espressione
5816	Miscellaneous photos	COCO_train2014_000000524819.jpg	0	5	0	
3525	LGBT+	gay-gb24ed7907_1920.jpg	7	12	0.37	Attività, Altro, Abbigliamento, Posa, Espressione, Forma fisica, Location
6955	Body positivity	shutterstock_30330109.jpg	4	15	0.21	Posa, Forma fisica, Altro, Abbigliamento
3491	LGBT+	shutterstock_1866907147.jpg	2	23	0.08	Attività, Altro
3464	LGBT+	shutterstock_1645286746.jpg	0	25	0	
6921	Body positivity	shutterstock_557293123.jpg	1	23	0.04	Attività
3500	LGBT+	shutterstock_2048169428.jpg	0	27	0	
4985	Miscellaneous photos	COCO_val2014_000000524725.jpg	4	1	0.8	Altro, Attività, Location
7027	Body positivity	shutterstock_1922089568.jpg	3	24	0.11	Altro, Forma fisica, Posa, Attività
3512	LGBT+	shutterstock_1908922480.jpg	2	21	0.09	Espressione, Forma fisica, Posa
4801	Miscellaneous photos	COCO_train2014_000000422737.jpg	1	3	0.25	Location, Altro
3425	Religion	shutterstock_142120033.jpg	2	25	0.07	Altro, Forma fisica, Abbigliamento
6915	Body positivity	shutterstock_1203521470.jpg	8	17	0.32	Altro, Attività, Espressione
6400	Miscellaneous photos	COCO_train2014_000000505655.jpg	1	9	0.1	Altro
4367	Miscellaneous photos	COCO_train2014_000000234637.jpg	1	4	0.2	Espressione, Abbigliamento
6896	Sport	shutterstock_1524565784.jpg	2	27	0.07	Location, Attività, Espressione, Posa
7002	Body positivity	shutterstock_1893518107.jpg	4	23	0.15	Altro, Attività, Espressione, Location, Posa
7110	Body positivity	shutterstock_211532737.jpg	1	20	0.05	Altro
5288	Miscellaneous photos	COCO_val2014_000000134691.jpg	5	1	0.83	Location
7021	Body positivity	shutterstock_1548808121.jpg	8	16	0.33	Abbigliamento, Altro, Attività
7073	Body positivity	shutterstock_1638182134.jpg	2	21	0.09	Attività, Abbigliamento, Posa
6811	Sport	shutterstock_1495129439.jpg	6	17	0.26	Posa, Espressione, Forma fisica, Abbigliamento, Altro
4008	Miscellaneous photos	COCO_train2014_000000074861.jpg	0	4	0	
3485	LGBT+	shutterstock_673143754.jpg	2	24	0.08	Espressione, Altro
6983	Body positivity	shutterstock_1929972590.jpg	5	23	0.18	Forma fisica, Altro, Espressione, Attività
7067	Body positivity	shutterstock_1447760924.jpg	2	25	0.07	Forma fisica
3493	LGBT+	shutterstock_1827642632.jpg	1	26	0.04	Forma fisica, Attività
